question,question_number,response_category,category,response
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,how to use & access the new health care market
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,"I feel certain groups of people need parenting classes, and tips on how to run a household  "
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,I think more classes that offer introductions of nutritional themes.
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,improve education about preventive medical care
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,infection control
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,family planning
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,maternal/pregnancy classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,making healthy choices for  kids
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,more food pantries
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,new parent classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,new parenting classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,nurses
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,nutritianal classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,nutrition
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,nutrition
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,nutrition & drug classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,nutrition & weight loss classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness, Nutrition class
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,"nutrition classes not just what you need, what will prevent heart problems"
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,"nutrition, exercise"
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,Nutritional counseling/classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,parenting classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,parenting classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,parenting classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,"parenting classes & budget classes,"
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,Nutrition classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,parenting skills classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,parenting skills classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,parenting skills classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,"parenting,"
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,park fitness classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,People that teach you about how to exercise.
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,personal hygiene
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,personal hygiene classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,"plan parenthood org. so everyone is helped,"
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,"planned parenthood organization,"
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,better food
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,programas de salud
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,quit smoking
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,reduce lunch programs
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,reduce lunch programs
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,running/biking/hiking groups all ages
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,sex education
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,"sex education,"
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,healthy diets
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,smoking cessation
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,smoking cessation classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,STD and drug abuse prevention programs at churches
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,STD education
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,STD info in the schools 
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,the importance of hand washing
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,the importance of immunizations
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,weight & diabetes classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,weight and diabetes classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,weight loss/nutrition in evenings when working people can come
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,what foods to eat to be healthy
"What classes/education programs or services would make your community a healthier, better place to live?",2,9,Wellness,women's health
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,more low or no cost dentistry
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,a more advanced healthcare system
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,Accept medicare
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,be able to find places that accept the medicaid card for dentist or glasses-­?help w/that
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,Better and accessible medical insurance for seniors
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,better communication within the Health Dept.
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,better doctors
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,better food options
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,"blood drives, free HIV testing"
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,blood pressure readings
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,blood pressure-­?readings
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,buena salud
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,change the culture of bad food choices
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,children food program
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,clinics (free)
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,clinics in supermarkets are a start
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,"communicable disease (what's going around amongst children & adults) health wise (viruses, colds etc.) community garden"
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,cooking on a budget
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,dental clinics
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,dental services
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,"dental, vision"
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,"dental,medical mission"
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,educate on how bad food choices effects humans
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,eye care
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,farmers market
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,flu vaccines
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,flu vaccines at pantry or J.P.
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,food for the hungry
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,food pantry
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,"free breast exams, free eye exams, flu shots"
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness, free clinic
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,"free clinic,"
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,mental health help
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,"free doctor appts., birth control (free)"
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,free fruit stands
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,Free immunizations
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,free mammograms
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,free medical screening for school age
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness, hand sanitizers
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,have clinics that help for free
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,health centered vending machines
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,Health classes for teens & pre-­?natals (also family)
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,health classes on healthy living
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,Health Dept
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,healthier food
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,healthier resturants less fast food
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,healthy child pantrys
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,healthy cooking classes
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,healthy food
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,healthy food choices available
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,helping hunger in kids
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,immunization & family planning
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,increase access hours-­?maybe 2 shifts to meet community/patient need
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,later hours for doctor visits at the Health Dept.
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,later hours or weekends for immunization & sick kid clinics
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,lice and bedbug info prevention
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,maybe free dentist or help with dental
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,maybe more wheat free procucts passed out medical clinic
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,mental health clinic
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,more doctors
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,more doctors in the area that accept the medical card
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,more doctors offices
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,more flu shot clinics available(free)
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,more hand sanitizer stations
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,more health facilities for exercise
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,more immunizations for
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,more low or no cost dentistry
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,more opportunities to see physicians rather than 1 day a week
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,more water fountains
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,more water fountains in park area
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,nutrition classes
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,obesity education
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,planned parenthood
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,"planned parenthood organization,"
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,"better food,"
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,pregnancy counseling
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,promoting the Health Deopartment & getting everyone updated on vaccines
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,promoting the Health Dept.
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,promoting warren co wic dept services
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,reduced medical costs
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,reinforcing how important proper immunizations & health care are
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,sanitizer stations
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,school children shots available for poverty qualified families
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,screening
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,seniore & veterans should be able to receive good medical attention close by and get enough food stamps(if need be) to eat healthy
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,sexual education classes for the people that have too many kids that my tax dollars pay for.
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,shots and medicine
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,shots for adults 
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,smoking & obesity
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,spending food $ wisely
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,tele medicine
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,"telemedicine kiosk in retail/ mfg, community centers"
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,The implement of more healthy food and healthy food markets
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,things to teach people to eat better
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,trained doctors
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,urgent care
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,urgent  care
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,urgent care
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,vaccine availability
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,vacunas
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,well area doctors only a few take certain welfare health cards. Makes it hard to get one close to home!
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,WIC
"What community health resources or services would make your community a healthier, better place to live?",3,9,Wellness,WIC
"What economic resources or services would make your community a healthier, better place to live?",4,9,Wellness,clinics
"What economic resources or services would make your community a healthier, better place to live?",4,9,Wellness,Counseling services 
"What economic resources or services would make your community a healthier, better place to live?",4,9,Wellness,food
"What economic resources or services would make your community a healthier, better place to live?",4,9,Wellness,free health screening 
"What economic resources or services would make your community a healthier, better place to live?",4,9,Wellness,health advocates 
"What economic resources or services would make your community a healthier, better place to live?",4,9,Wellness,hospitals
"What economic resources or services would make your community a healthier, better place to live?",4,9,Wellness,"Maybe vouchers to local fruit stands or markets for fresh fruit, ect…"
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,9,Wellness,Better housing for non smokers in apartments and or duplex's 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,9,Wellness,CPR & lifeguarding courses
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,9,Wellness,CPR programs 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,9,Wellness,"Health, safety, security "
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,9,Wellness,hospitals
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,9,Wellness,more immunization information
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,9,Wellness,nutrition classes
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,9,Wellness,parenting classes 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,9,Wellness,walk in labs
"What other issues or services would make your community a healthier, better place to live?",6,9,Wellness,immunization education
"What other issues or services would make your community a healthier, better place to live?",6,9,Wellness,Coordinate with health care facilities & private caregivers 
"What other issues or services would make your community a healthier, better place to live?",6,9,Wellness,promotting increased physical exercise & weight control
"What other issues or services would make your community a healthier, better place to live?",6,9,Wellness,free public health screenings
"What other issues or services would make your community a healthier, better place to live?",6,9,Wellness,"lining up with local businesses to provide care/prevention/education to employees. IE..occupational healthcare screenings, immunization, lipid testing"
"What other issues or services would make your community a healthier, better place to live?",6,9,Wellness,more cpr classes
"What other issues or services would make your community a healthier, better place to live?",6,9,Wellness,"more healthy food options instead of fast food, getting healthier, community get togethers, more high end food not fast food."
"What other issues or services would make your community a healthier, better place to live?",6,9,Wellness,more nutrition education to children & families
"What other issues or services would make your community a healthier, better place to live?",6,9,Wellness,more resturants in area
"What other issues or services would make your community a healthier, better place to live?",6,9,Wellness,weight watchers
"What other issues or services would make your community a healthier, better place to live?",6,9,Wellness,exercise programs
"What other issues or services would make your community a healthier, better place to live?",6,9,Wellness,medical housing
"What other issues or services would make your community a healthier, better place to live?",6,9,Wellness,medical-­?vision & dental for low income
"What services would make your community a healthier, better place to live?",1,10,Senior Services,better senior services for homebound seniors (such as beauty shop hair  care)
"What services would make your community a healthier, better place to live?",1,10,Senior Services,meals on wheels for the elderly
"What services would make your community a healthier, better place to live?",1,10,Senior Services,more senior care
"What services would make your community a healthier, better place to live?",1,10,Senior Services,more senior care
"What services would make your community a healthier, better place to live?",1,10,Senior Services,more services for Sr. citizens-­?either transportation to Dr. appt. hospitals…even transportation to grocery 
"What services would make your community a healthier, better place to live?",1,10,Senior Services,reliable elder transport
"What services would make your community a healthier, better place to live?",1,10,Senior Services,reliable elder transport
"What services would make your community a healthier, better place to live?",1,10,Senior Services,reliable elder transport
"What services would make your community a healthier, better place to live?",1,10,Senior Services,senior
"What services would make your community a healthier, better place to live?",1,10,Senior Services,transitioning from work sector to near retirement/full retirement sector 
"What classes/education programs or services would make your community a healthier, better place to live?",2,10,Senior Services,"classes for older people-­?eating,exercising "
"What classes/education programs or services would make your community a healthier, better place to live?",2,10,Senior Services,dealing with the elderly and their needs
"What classes/education programs or services would make your community a healthier, better place to live?",2,10,Senior Services,free schooling for older people
"What classes/education programs or services would make your community a healthier, better place to live?",2,10,Senior Services,have more participation @ nursing homes
"What classes/education programs or services would make your community a healthier, better place to live?",2,10,Senior Services,outreach to elderly & caregivers
"What community health resources or services would make your community a healthier, better place to live?",3,10,Senior Services,"mental health services, services for elderly"
"What community health resources or services would make your community a healthier, better place to live?",3,10,Senior Services,more affordable healthcare for the elderly
"What community health resources or services would make your community a healthier, better place to live?",3,10,Senior Services,senior center
"What community health resources or services would make your community a healthier, better place to live?",3,10,Senior Services,senior center
"What community health resources or services would make your community a healthier, better place to live?",3,10,Senior Services,senior citizens
"What community health resources or services would make your community a healthier, better place to live?",3,10,Senior Services,services for the elderly
"What economic resources or services would make your community a healthier, better place to live?",4,10,Senior Services,allowing assistance with elderly to stay in their homes 
"What economic resources or services would make your community a healthier, better place to live?",4,10,Senior Services,senior-­?long term senior housing
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,10,Senior Services,pets from shelters made available to elderly in nursing homes 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,10,Senior Services,balance improvement classes at neighborhood libraries 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,10,Senior Services,"Co-­?ordinate non-­?profits & churches to assist elderly w/home maintenance, "
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,10,Senior Services,pets from shelters made availabel to elderly in nursing homes
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,10,Senior Services,resources for elderly
"What other issues or services would make your community a healthier, better place to live?",6,10,Senior Services,Closer watch on senior citizens or other citizens experiencing dimentia.
"What other issues or services would make your community a healthier, better place to live?",6,10,Senior Services,meals for elderly
"What other issues or services would make your community a healthier, better place to live?",6,10,Senior Services,meals for elderly 
"What other issues or services would make your community a healthier, better place to live?",6,10,Senior Services,more things for senior citizens to do that they can afford 
"What services would make your community a healthier, better place to live?",1,11,Information and Referral,referral services-­? so that people know where to go to get them headed in the right direction
"What services would make your community a healthier, better place to live?",1,11,Information and Referral,I would like to be better informed of news in the community improved access to low cost food
"What services would make your community a healthier, better place to live?",1,11,Information and Referral,increase in community awareness of board of health and what is currently done by BOH
"What services would make your community a healthier, better place to live?",1,11,Information and Referral,information readily available various places
"What services would make your community a healthier, better place to live?",1,11,Information and Referral,make people aware of what's happening in the community 
"What services would make your community a healthier, better place to live?",1,11,Information and Referral,more community awareness 
"What services would make your community a healthier, better place to live?",1,11,Information and Referral,screening in the communities
"What classes/education programs or services would make your community a healthier, better place to live?",2,11,Information and Referral,advertise more about nutrition for families
"What classes/education programs or services would make your community a healthier, better place to live?",2,11,Information and Referral,making programs more available and getting information out
"What classes/education programs or services would make your community a healthier, better place to live?",2,11,Information and Referral,more information for kids to get involved w/4H
"What community health resources or services would make your community a healthier, better place to live?",3,11,Information and Referral,more information for available programs in our area
"What community health resources or services would make your community a healthier, better place to live?",3,11,Information and Referral,advertise health programs
"What community health resources or services would make your community a healthier, better place to live?",3,11,Information and Referral,education/assist people to get health insurance through website marketplace.
"What community health resources or services would make your community a healthier, better place to live?",3,11,Information and Referral,free & anonymour help line for STD/drug & birth control information & referral
"What community health resources or services would make your community a healthier, better place to live?",3,11,Information and Referral,free advice
"What community health resources or services would make your community a healthier, better place to live?",3,11,Information and Referral,general ed on public awareness topics
"What community health resources or services would make your community a healthier, better place to live?",3,11,Information and Referral,immunization clinic info
"What community health resources or services would make your community a healthier, better place to live?",3,11,Information and Referral,"Info on any virus outbreaks/water/air quality, etc"
"What community health resources or services would make your community a healthier, better place to live?",3,11,Information and Referral,information availible for people to learn to live healthier
"What community health resources or services would make your community a healthier, better place to live?",3,11,Information and Referral,"List of resources for elderly & chronically ill(meals on wheels-­?repite care, etc.) made more known to the public"
"What community health resources or services would make your community a healthier, better place to live?",3,11,Information and Referral,make school children shots available for poverty qualified families
"What community health resources or services would make your community a healthier, better place to live?",3,11,Information and Referral,more information for available programs in our area
"What community health resources or services would make your community a healthier, better place to live?",3,11,Information and Referral,phone #'s that are easier to find
"What economic resources or services would make your community a healthier, better place to live?",4,11,Information and Referral,getting help quicker
"What economic resources or services would make your community a healthier, better place to live?",4,11,Information and Referral,promote job & family services
"What economic resources or services would make your community a healthier, better place to live?",4,11,Information and Referral,Promoting job & family services so that people know who to go to when they need economic help 
"What other issues or services would make your community a healthier, better place to live?",6,11,Information and Referral,better communication of county services available
"What other issues or services would make your community a healthier, better place to live?",6,11,Information and Referral,door to door about service things we do 
"What other issues or services would make your community a healthier, better place to live?",6,11,Information and Referral,I feel we need a better news/information service to inform our community of what is  happening
"What other issues or services would make your community a healthier, better place to live?",6,11,Information and Referral,Information of access to services
"What other issues or services would make your community a healthier, better place to live?",6,11,Information and Referral,insurance advocates 
"What other issues or services would make your community a healthier, better place to live?",6,11,Information and Referral,more involement with each other through town meetings
"What other issues or services would make your community a healthier, better place to live?",6,11,Information and Referral,pamphlets showing available programs 
"What other issues or services would make your community a healthier, better place to live?",6,11,Information and Referral,promoting through social media 
"What other issues or services would make your community a healthier, better place to live?",6,11,Information and Referral,Utilizing facebook or social media to put out information 
"What other issues or services would make your community a healthier, better place to live?",6,11,Information and Referral,welcome wagon for new residences in low income areas
"What services would make your community a healthier, better place to live?",1,12,Other,all services are good
"What services would make your community a healthier, better place to live?",1,12,Other,services already fair on a sliding scale services for homeless
"What services would make your community a healthier, better place to live?",1,12,Other,shots/rental etc.-­?brought to public schools 
"What services would make your community a healthier, better place to live?",1,12,Other,sign in front of WCH
"What services would make your community a healthier, better place to live?",1,12,Other,the services that are offered are pretty  make more rooms
"What services would make your community a healthier, better place to live?",1,12,Other,updated letters 
"What classes/education programs or services would make your community a healthier, better place to live?",2,12,Other,spanish language classes so I can talk to my drywallers
"What classes/education programs or services would make your community a healthier, better place to live?",2,12,Other,math help
"What classes/education programs or services would make your community a healthier, better place to live?",2,12,Other,outreach programs to keep kids
"What community health resources or services would make your community a healthier, better place to live?",3,12,Other,common sense school
"What community health resources or services would make your community a healthier, better place to live?",3,12,Other,communal water fountains
"What economic resources or services would make your community a healthier, better place to live?",4,12,Other,budgeting classes
"What economic resources or services would make your community a healthier, better place to live?",4,12,Other,bank
"What economic resources or services would make your community a healthier, better place to live?",4,12,Other,budgeting
"What economic resources or services would make your community a healthier, better place to live?",4,12,Other,cheaper college
"What economic resources or services would make your community a healthier, better place to live?",4,12,Other,classes on saving & wise way to spend money 
"What economic resources or services would make your community a healthier, better place to live?",4,12,Other,classes to use money wisely
"What economic resources or services would make your community a healthier, better place to live?",4,12,Other,coupon class
"What economic resources or services would make your community a healthier, better place to live?",4,12,Other,english tutoring
"What economic resources or services would make your community a healthier, better place to live?",4,12,Other,estate planning 
"What economic resources or services would make your community a healthier, better place to live?",4,12,Other,finance advisory courses 
"What economic resources or services would make your community a healthier, better place to live?",4,12,Other,financial planning 
"What economic resources or services would make your community a healthier, better place to live?",4,12,Other,financial planning
"What economic resources or services would make your community a healthier, better place to live?",4,12,Other,financial responsibilty training
"What economic resources or services would make your community a healthier, better place to live?",4,12,Other,Free technical education
"What economic resources or services would make your community a healthier, better place to live?",4,12,Other,help with budgeting 
"What economic resources or services would make your community a healthier, better place to live?",4,12,Other,help with budgeting
"What economic resources or services would make your community a healthier, better place to live?",4,12,Other,mandatory credit card class
"What economic resources or services would make your community a healthier, better place to live?",4,12,Other,maybe a class on how to save your money & plan for the future
"What economic resources or services would make your community a healthier, better place to live?",4,12,Other,more monies for schools-­?public(without more taxation)(where is all the earmarked lottery money for schools)
"What economic resources or services would make your community a healthier, better place to live?",4,12,Other,more services for homeless & welfare individuals that would help them get out of poverty 
"What economic resources or services would make your community a healthier, better place to live?",4,12,Other,Seminars for famlies that need assistance & for those that don't 
"What economic resources or services would make your community a healthier, better place to live?",4,12,Other,teach people how to save money
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,12,Other,free CPR classes
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,12,Other,STD information
"What other issues or services would make your community a healthier, better place to live?",6,12,Other,Sat Do-­?It yourself seminars (how to do maintenance & building issues) helpful for renters & homeowners 
"What other issues or services would make your community a healthier, better place to live?",6,12,Other,Awareness about other country language & culture 
